,rowlabels,collabels,s0,s1,c0,c1,a0,a1,num0,num1,numTot,date
375,H04_sgLAMTOR_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.457887627225006,12.954406064787143,-0.22562746264687594,2.087183744852426,-3.3850820443663565,14.390132846901693,193.57142857142858,172.63636363636363,1010.96,2022-03-23
376,H05_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.666271753126193,14.038776913076974,-0.0020812122616959737,1.591611270655063,-3.930572528753004,7.840872307310491,172.35714285714286,157.1818181818182,859.82,2022-03-23
377,H06_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.904575715302903,14.22233929507449,-0.31911412443992854,2.528719930514962,-5.728809253014617,13.377038724803242,202.14285714285714,163.87878787878788,1052.52,2022-03-23
378,H07_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.618728342590526,12.977610165713816,-0.723482554291791,0.6224414283996816,-8.100948401963464,5.9746333311330915,140.14285714285714,127.0909090909091,565.84,2022-03-23
379,H08_sgLAMTOR_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.422847455486181,13.16236812611415,0.5078638269326181,1.694545749200848,3.0462147601395344,11.128095021631111,177.07142857142858,163.06060606060606,1023.52,2022-03-23
380,H09_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.374556458867104,14.028788780677017,0.7932437422470092,1.9741659378354013,7.730677831490041,11.569981406648623,158.71428571428572,153.15151515151516,812.06,2022-03-23
381,H10_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.735573453084454,13.241153963653682,0.9497481885550253,2.4950539792826603,7.112940083175914,14.757686494703307,144.07142857142858,122.9090909090909,937.32,2022-03-23
382,H11_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.483868920624102,14.278932087123753,-0.3837628166561591,0.8130526531581586,-3.356461909269143,5.2293069867496484,124.42857142857143,110.81818181818181,531.46,2022-03-23
383,H12_sgLAMTOR_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.025284104426596,13.861662636377606,-0.7695487849100519,2.7611665695863907,-7.424705849967609,18.0565093633861,156.42857142857142,123.54545454545455,924.98,2022-03-23
384,A01_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,7.9678757406084655,7.798340762690736,0.03918993753594617,1.789499647693395,5.661661439457191,9.666275075941883,160.85714285714286,155.87878787878788,1111.58,2022-04-06
385,A02_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,7.821312075564321,7.756649209703643,0.5112086646895986,2.0199239487475316,6.318893273091774,15.032243616137123,162.92857142857142,157.33333333333334,792.12,2022-04-06
386,A03_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.245928064148146,10.969259335169948,0.1670363196772902,0.5972438975364975,-5.67489671834619,2.8244740917650972,115.0,93.9090909090909,455.34,2022-04-06
387,A04_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,8.497737175047506,8.053529098611174,0.6881302089789283,1.9795512445323227,2.5498096539438393,8.719332820376223,173.07142857142858,172.12121212121212,1075.1,2022-04-06
388,A05_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,7.207677305844959,7.018307098838908,0.4794917690305167,2.0017315265402975,3.711108038581017,17.267380431023298,155.5,144.6060606060606,832.38,2022-04-06
389,A06_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.174819543166452,11.108021456921568,-0.31793691590966855,2.4887156181853114,-2.196833000211413,18.77477130586854,111.35714285714286,95.06060606060606,466.58,2022-04-06
390,A07_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,7.908788043372322,8.8063980356798,-0.4903875295710581,1.6731284124276946,-1.7335292998343022,9.314809710202397,135.85714285714286,128.8181818181818,944.88,2022-04-06
391,A08_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,6.819555609859856,8.3068501746367,0.30330852806709774,2.0797190722560956,2.655797142216059,14.67340118782316,137.0,135.66666666666666,779.9,2022-04-06
392,A09_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.976745434206276,12.194989556280644,0.3205867459347161,2.4576812589516983,-2.424034800679067,15.1814016685952,96.57142857142857,93.60606060606061,472.44,2022-04-06
