,E_field,cell,celltype,concentration,date,fMLP,frame,framerate,magnification,material,scope,trial,x,x_corr,y,y_corr,z
93,5.0,2.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,186.64305454935737,0.0,90.9281172019641,0.0,1.7173174465636698
94,5.0,3.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,382.81504206758706,0.0,98.26616464463348,0.0,4.529733444284536
95,5.0,4.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,182.86514697981426,0.0,135.69345306623686,0.0,8.180481710287003
96,5.0,5.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,101.28012801280128,0.0,231.27312731273128,0.0,1.4915056614224205
97,5.0,6.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,441.18963620499983,0.0,261.5682257880961,0.0,11.75459452695285
98,5.0,7.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,347.32322789801106,0.0,302.351120067759,0.0,9.89524168814928
99,5.0,8.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,227.8257183516517,0.0,350.0105973900142,0.0,1.4535337997045503
100,5.0,9.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,538.3738373837384,0.0,379.3129312931293,0.0,3.925055705492184
101,5.0,10.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,414.61504359391165,0.0,508.54637702576224,0.0,4.016352130074284
102,5.0,11.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,580.5817791081433,0.0,586.3304935144678,0.0,7.922997084948329
103,5.0,12.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,632.1232123212321,0.0,49.651631829849656,0.0,9.65723236687105
104,5.0,13.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,620.7154644035832,0.0,339.026402640264,0.0,25.594780146167295
105,5.0,14.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,483.0241644854141,0.0,540.5257767156025,0.0,18.794131293792095
106,5.0,15.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,565.2330858085809,0.0,36.35519801980198,0.0,19.284459889520214
107,5.0,16.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,85.63385750339741,0.0,29.11570568821588,0.0,26.656029338461504
108,5.0,17.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,269.9257425742574,0.0,181.13311331133116,0.0,31.834443661832147
109,5.0,18.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,398.56289426410996,0.0,425.65902159836236,0.0,31.95939583703864
110,5.0,19.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,388.8423457730388,0.0,2.646610814927647,0.0,32.54926104189779
111,5.0,20.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,383.22832283228325,0.0,150.8950895089509,0.0,36.00480752664431
112,5.0,21.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,502.5268939107651,0.0,574.1919230090948,0.0,30.999894271064523
113,5.0,22.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,320.0133496495717,0.0,202.6476804983869,0.0,41.08840767915388
114,5.0,23.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,192.5458063047684,0.0,617.1617161716172,0.0,37.7707884707275
115,5.0,24.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,112.10475886298308,0.0,627.5737251144469,0.0,36.662692678355036
116,5.0,25.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,452.1566939302626,0.0,467.69981345960684,0.0,43.22199522439415
117,5.0,26.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,405.80858085808575,0.0,657.011701170117,0.0,42.333974526990104
118,5.0,27.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,598.9850597963023,0.0,427.64469995386634,0.0,46.072132766597285
119,5.0,28.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,470.2970297029703,0.0,515.1815181518152,0.0,51.453788792847675
120,5.0,29.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,498.55414112839856,0.0,67.23243752946723,0.0,53.420900004454694
121,5.0,30.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,291.09598459845984,0.0,540.4496699669967,0.0,51.36727104816886
122,5.0,31.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,28.53309721216024,0.0,591.6928278193673,0.0,54.57042364578811
123,5.0,32.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,581.7955708614339,0.0,85.54072798584205,0.0,58.61895892272458
124,5.0,33.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,630.0292098175335,0.0,343.21156253556387,0.0,55.02851163663046
125,5.0,34.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,572.046204620462,0.0,457.8382838283828,0.0,58.836579427287305
126,5.0,35.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,181.95544554455446,0.0,263.93564356435644,0.0,67.07009323259258
127,5.0,36.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,600.6396515940254,0.0,283.45411860773703,0.0,62.62137796502255
128,5.0,37.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,201.78093281026216,0.0,287.24079955165325,0.0,71.40661715544434
129,5.0,38.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,77.87168960798519,0.0,99.74241326571682,0.0,73.28625971353803
130,5.0,39.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,61.48900604346149,0.0,357.7472032917578,0.0,75.97912540399133
131,5.0,40.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,41.36040722716339,0.0,392.9182748783353,0.0,74.54833235979899
132,5.0,41.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,186.94389438943895,0.0,408.039603960396,0.0,76.77397615538649
133,5.0,42.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,110.43154948406232,0.0,87.4796340393533,0.0,77.94281647943576
134,5.0,43.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,50.048190659773944,0.0,164.96977131341453,0.0,77.6716149937966
135,5.0,44.0,dHL60,1.0mgml,20190116,0.0,5.0,66,20xair,collagen,Rio,3,162.56105610561056,0.0,320.13201320132015,0.0,77.97575907707552
136,5.0,0.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,52.16506613067322,0.0,54.48274150723343,0.0,4.44969188031227
137,5.0,1.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,659.2002057348592,0.0,55.7970082722558,0.0,5.7715655940127295
138,5.0,2.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,550.7674576981508,0.0,71.33951490387133,0.0,1.809192358226159
139,5.0,3.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,198.1925295333272,0.0,83.3102001788964,0.0,2.536741188827204
140,5.0,4.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,417.77626038465917,0.0,100.068282690338,0.0,10.839013208437274
141,5.0,5.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,183.56243391329423,0.0,132.82706911467844,0.0,9.530475212384555
142,5.0,6.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,15.117263938783259,0.0,137.89538245859984,0.0,2.1380529110318243
143,5.0,7.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,105.43347017628591,0.0,245.46405860098204,0.0,0.18724805933706495
144,5.0,8.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,455.66831683168317,0.0,249.75660066006603,0.0,8.98526197337969
145,5.0,9.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,319.4059405940594,0.0,357.30473047304736,0.0,0.0
146,5.0,10.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,545.9645964596459,0.0,378.2703270327033,0.0,2.772845139431101
147,5.0,11.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,431.2431243124313,0.0,505.72464653872794,0.0,1.3925302445790402
148,5.0,12.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,486.62950328646315,0.0,529.6780098177885,0.0,9.051137024123129
149,5.0,13.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,580.5680568056805,0.0,586.4086408640864,0.0,8.335022956125046
150,5.0,14.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,649.014802470346,0.0,347.2796784628958,0.0,11.464999428434846
151,5.0,15.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,360.02200220021996,0.0,310.2236890355702,0.0,19.562266470685202
152,5.0,16.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,565.2024357365314,0.0,36.731278761678986,0.0,19.517400519346044
153,5.0,17.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,87.61590444758761,0.0,14.762428623814762,0.0,27.035156162081464
154,5.0,18.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,269.94397114130015,0.0,181.31859697597667,0.0,31.87787325586558
155,5.0,19.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,398.78081925839643,0.0,425.84352552902345,0.0,31.912640388958394
156,5.0,20.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,388.84428983438886,0.0,2.753248297802753,0.0,32.50838460819885
157,5.0,21.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,389.527345591702,0.0,153.9073550212164,0.0,34.32639871401796
158,5.0,22.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,319.2696689023741,0.0,196.0608964122219,0.0,37.64165450092299
159,5.0,23.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,502.7033585711512,0.0,574.3496408464375,0.0,31.20773644987019
160,5.0,24.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,207.1686238391281,0.0,623.1713869061324,0.0,28.96723742497789
161,5.0,25.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,484.04840484048407,0.0,473.13790202549666,0.0,45.857581302724114
162,5.0,26.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,116.1018024879411,0.0,626.0916476263011,0.0,40.03219154096574
163,5.0,27.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,405.990884802766,0.0,656.8159673110168,0.0,42.40067847753454
164,5.0,28.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,599.3470314773413,0.0,427.52404272685334,0.0,46.254490423508116
165,5.0,29.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,581.0923027786649,0.0,452.21973810284254,0.0,46.66121057146847
166,5.0,30.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,470.3581469258037,0.0,515.5115511551155,0.0,51.32993137345462
167,5.0,31.0,dHL60,1.0mgml,20190116,0.0,1.0,66,20xair,collagen,Rio,3,299.5578803163335,0.0,541.241671336945,0.0,49.765829999898216
