,gene,log2fold_diff_mean,exp,pvalue
243,ADAM10,0.10642699869135126,growth,0.2051027462794489
244,ADAM11,-0.04140457866260596,growth,0.25498904526465843
245,ADAM12,0.06319561456140722,growth,0.5793336448660332
246,ADAM15,0.10151541201529463,growth,0.23415359967711233
247,ADAM17,0.042581163795326664,growth,0.8307859081961163
248,ADAM18,-0.011475652483368801,growth,0.5037876290750272
249,ADAM19,-0.001665638596060499,growth,0.6110802487863415
250,ADAM2,0.06539337751927517,growth,0.5545645119236559
251,ADAM20,-0.042236719998772106,growth,0.2518271130513433
252,ADAM21,0.07559664030838582,growth,0.44495448923106207
253,ADAM22,0.0642906731774274,growth,0.5676203197891747
254,ADAM23,-0.0639182009173466,growth,0.14413127241124998
255,ADAM28,0.028908718645495546,growth,0.9889171084162458
256,ADAM29,-0.06761706489648533,growth,0.12682852796815663
257,ADAM30,-0.016856387984743933,growth,0.4507775824126496
258,ADAM32,-0.05156800533248616,growth,0.1979840022339411
259,ADAM33,0.1115138372730714,growth,0.17705518428192352
260,ADAM7,0.06092284527780123,growth,0.6027070504248175
261,ADAM8,-0.08669996674305658,growth,0.07598625531589712
262,ADAM9,-0.035162393906572824,growth,0.2994540145720157
263,ADAMDEC1,0.15023082219495723,growth,0.04612157577378703
264,ADAMTS1,-0.054351953303738765,growth,0.18338604434876396
265,ADAMTS10,0.10173643119944707,growth,0.23424153098808706
266,ADAMTS12,0.09057294979455456,growth,0.3125418857884978
267,ADAMTS13,0.058631068649740666,growth,0.6335607386016366
268,ADAMTS14,-0.03436131889983223,growth,0.3055734508458385
269,ADAMTS15,0.027727758713120266,growth,0.976096528952793
270,ADAMTS16,-0.042783449421245505,growth,0.24793743993283407
271,ADAMTS17,-0.09259984708914949,growth,0.06126179293691988
272,ADAMTS18,0.047572795051141974,growth,0.7657750350765773
273,ADAMTS19,0.03532921251141343,growth,0.9241939310003489
274,ADAMTS2,-0.013726122211702543,growth,0.4849185413565489
275,ADAMTS20,0.12545805601459578,growth,0.11339767605803835
276,ADAMTS3,-0.037414389085224965,growth,0.2818181999255839
277,ADAMTS4,-0.25479078936893734,growth,0.0016930420925242403
278,ADAMTS5,-0.1152900513651256,growth,0.03205878436468583
279,ADAMTS6,0.06547381100231167,growth,0.553628164913862
280,ADAMTS7,-0.014289278345275167,growth,0.47769622297126313
281,ADAMTS8,-0.21828116892673152,growth,0.005805312596053419
282,ADAMTS9,0.013230792939348665,growth,0.7884080687131214
283,ADAMTSL1,0.004534805705772967,growth,0.6845950027129967
284,ADAMTSL2,-0.010229241135019801,growth,0.5203413542072873
285,ADAMTSL3,0.05277771193222957,growth,0.7020681687245427
286,ADAMTSL4,-0.03096294120962713,growth,0.32992002768718937
287,ADAMTSL5,0.009424648293596535,growth,0.7438020206615262
288,ADAP1,-0.2714325714290925,growth,0.004596135618064084
289,ADAP2,-0.0255112214127439,growth,0.37279446046343495
290,ADAR,0.07401073432806343,growth,0.4656696486716615
291,ADARB1,0.03194754418585063,growth,0.9709198523589566
292,ADARB2,-0.05662281781352053,growth,0.17263899207593145
293,ADAT1,-0.06648797151983384,growth,0.1300664406070875
294,ADAT2,-2.2547141184762673,growth,9.716166958532225e-08
295,ADCK1,0.12673434481200294,growth,0.10890142263630799
296,ADCK2,0.043294254900252405,growth,0.8213141999982608
297,ADCK5,0.08638368947916274,growth,0.3503539040943393
298,ADCY1,-0.08590794395054412,growth,0.07468283151841003
299,ADCY10,0.1418098196831576,growth,0.06411708292102374
300,ADCY2,-0.07290644610681513,growth,0.10964198888188731
301,ADCY4,-0.02039614669120777,growth,0.417662262052893
302,ADCY5,0.03007821436338053,growth,0.9938534070395282
303,ADCY6,0.06941260688880145,growth,0.5150922921696098
304,ADCY7,0.07488219021841507,growth,0.45664634157894224
