,cell,frame,x,y,celltype,position,aqctime,sampleset
139,0.0,4.0,284.0420732720754,2.516798442434171,sgLAMTOR1,0,30sec,1
140,12.0,4.0,171.6006600660066,304.9532453245325,sgLAMTOR1,0,30sec,1
141,1.0,4.0,318.7878162816282,25.721947194719473,sgLAMTOR1,0,30sec,1
142,24.0,4.0,234.1290129012901,508.37083708370835,sgLAMTOR1,0,30sec,1
143,7.0,4.0,672.0647407206474,193.15068493150687,sgLAMTOR1,0,30sec,1
144,5.0,4.0,487.6715932462812,156.01712345147558,sgLAMTOR1,0,30sec,1
145,9.0,4.0,334.3193578617121,238.18060818427523,sgLAMTOR1,0,30sec,1
146,29.0,4.0,409.7236589330575,570.6221368405497,sgLAMTOR1,0,30sec,1
147,13.0,4.0,107.05903923725707,323.7379293484904,sgLAMTOR1,0,30sec,1
148,22.0,4.0,118.99960638265662,526.0574681321343,sgLAMTOR1,0,30sec,1
149,27.0,4.0,477.6243679413813,560.8774638931783,sgLAMTOR1,0,30sec,1
150,21.0,4.0,618.724631083798,496.412629768724,sgLAMTOR1,0,30sec,1
151,3.0,4.0,246.80219501240063,123.74089479953913,sgLAMTOR1,0,30sec,1
152,10.0,4.0,282.99250485796244,262.29604268838096,sgLAMTOR1,0,30sec,1
153,20.0,4.0,73.09525824377309,460.82762122366086,sgLAMTOR1,0,30sec,1
154,26.0,4.0,669.9214749061113,558.7382876218657,sgLAMTOR1,0,30sec,1
155,25.0,4.0,161.12714410454498,515.0350012579734,sgLAMTOR1,0,30sec,1
156,18.0,4.0,339.8991307581462,456.94696230186395,sgLAMTOR1,0,30sec,1
157,2.0,4.0,185.78457845784575,90.86708670867087,sgLAMTOR1,0,30sec,1
158,19.0,4.0,165.3991486105132,498.9716362940642,sgLAMTOR1,0,30sec,1
159,14.0,4.0,641.4050979566042,332.8137069026052,sgLAMTOR1,0,30sec,1
160,17.0,4.0,13.905181987393052,431.1044374579638,sgLAMTOR1,0,30sec,1
161,16.0,4.0,525.8013920203902,400.96722543541483,sgLAMTOR1,0,30sec,1
162,11.0,4.0,98.03044820611095,312.77090842724823,sgLAMTOR1,0,30sec,1
163,31.0,4.0,72.96678604030616,654.1731619970508,sgLAMTOR1,0,30sec,1
164,30.0,4.0,534.3476720553411,668.5536350245194,sgLAMTOR1,0,30sec,1
165,23.0,4.0,inf,inf,sgLAMTOR1,0,30sec,1
166,32.0,4.0,inf,inf,sgLAMTOR1,0,30sec,1
167,33.0,4.0,inf,inf,sgLAMTOR1,0,30sec,1
168,34.0,4.0,670.6225724613278,649.4645382905637,sgLAMTOR1,0,30sec,1
169,21.0,5.0,618.8423457730388,496.06752982990605,sgLAMTOR1,0,30sec,1
170,8.0,5.0,176.44978783592643,218.57319660537482,sgLAMTOR1,0,30sec,1
171,0.0,5.0,284.8261570343081,2.415125233453578,sgLAMTOR1,0,30sec,1
172,34.0,5.0,669.9990832416574,648.7623762376238,sgLAMTOR1,0,30sec,1
173,18.0,5.0,339.0466519179391,457.7207171266577,sgLAMTOR1,0,30sec,1
174,28.0,5.0,292.44524452445245,569.6699669966996,sgLAMTOR1,0,30sec,1
175,15.0,5.0,314.20820048106503,375.92716898808527,sgLAMTOR1,0,30sec,1
176,1.0,5.0,317.24810064899106,24.710390502137464,sgLAMTOR1,0,30sec,1
177,20.0,5.0,74.9057048561999,460.36067892503536,sgLAMTOR1,0,30sec,1
178,10.0,5.0,281.09471324490937,261.43284139734726,sgLAMTOR1,0,30sec,1
179,13.0,5.0,108.4730922071799,325.3317168451539,sgLAMTOR1,0,30sec,1
180,27.0,5.0,478.5806757471328,562.9159601042977,sgLAMTOR1,0,30sec,1
181,29.0,5.0,411.95119511951197,569.6869686968697,sgLAMTOR1,0,30sec,1
182,4.0,5.0,27.058681477903885,132.5082508250825,sgLAMTOR1,0,30sec,1
183,6.0,5.0,600.6453433447434,147.04994663035075,sgLAMTOR1,0,30sec,1
184,2.0,5.0,185.35047534604206,94.5864735727304,sgLAMTOR1,0,30sec,1
